link,food,img,tag,material,cooking_time,scrap
https://haemukja.com/recipes/5867,김치피자로스팜 : 김피팜,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66668/mid_thumb____.png&convert=jpgmin&rt=600,햄/소시지 봄 피자 김치요리 간식/야식 술안주 손님 접대 요리 파티/명절요리 실생활 요리 한식 요리 중식 요리 양식 요리 퓨전요리 이국적인맛 가공식품 요리 10분 요리 자취 초보 요리 혼밥 요리 아이 간식,김치 의성마늘 로스팜 또띠아 피자소스 옥수수콘 피자치즈 파프리카 혹은 피망 새우 양파,10분,31
https://haemukja.com/recipes/5866,로스팜 무쌈말이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66634/mid_thumb_1.png&convert=jpgmin&rt=600,돼지고기 닭고기 햄/소시지 봄 김밥/롤/주먹밥/초밥 구이요리 나물/무침 샐러드요리 기타음료 주류/칵테일 간식/야식 술안주 손님 접대 요리 나들이 요리 파티/명절요리 실생활 요리 한식 요리 동남아/인도 요리 멕시칸 요리 양식 요리 퓨전요리 채소류 요리 가공식품 요리 5분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 고혈압 극복 다이어트 요리 미백효과 빈혈 예방,의성마늘 로스팜 오리고기 쌈무 무순 파프리카 양파 각종 야채,5분,312
https://haemukja.com/recipes/5856,고추기름 묵볶이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66536/mid_thumb_181102____________.jpg&convert=jpgmin&rt=600,봄 조림요리 구이요리 볶음요리 간식/야식 술안주 손님 접대 요리 한식 요리 중식 요리 퓨전요리 10분 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 다이어트 요리 볶음면요리,도토리묵 떡볶이떡 고추기름 양조간장 설탕 물엿 고추가루 참기름 대파 굴소스,20분,82
https://haemukja.com/recipes/5855,돌돌말이 키스틱꼬치,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66528/mid_thumb_1____2.33.27.png&convert=jpgmin&rt=600,햄/소시지 샐러드요리 샌드위치 주류/칵테일 간식/야식 술안주 손님 접대 요리 파티/명절요리 실생활 요리 퓨전요리 과일 요리 10분 요리 자취 초보 요리 간단 재료 요리,키스틱 식빵 청포도 사과 이 외 취향에 맞는 과일,10분,22
https://haemukja.com/recipes/5855,돌돌말이 키스틱꼬치,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66528/mid_thumb_1____2.33.27.png&convert=jpgmin&rt=600,햄/소시지 샐러드요리 샌드위치 주류/칵테일 간식/야식 술안주 손님 접대 요리 파티/명절요리 실생활 요리 퓨전요리 과일 요리 10분 요리 자취 초보 요리 간단 재료 요리,키스틱 식빵 청포도 사과 이 외 취향에 맞는 과일,10분,22
https://haemukja.com/recipes/5849,허니버터 감자칩 ,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66500/mid_thumb_181017____________.jpg&convert=jpgmin&rt=600,과자/쿠키 간식/야식 술안주 손님 접대 요리 파티/명절요리 실생활 요리 파이류 5분 요리 10분 요리 자취 초보 요리 간단 재료 요리 다이어트 요리,감자 꿀 소금 버터 파슬리 가루,60분,69
https://haemukja.com/recipes/5840,참치라자냐,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5840/mid_thumb_____________02.jpg&convert=jpgmin&rt=600,수산가공품 술안주 손님 접대 요리 실생활 요리 양식 요리 이국적인맛 자취 초보 요리 동영상 레시피,라자냐 양파 참치 토마토소스 모짜렐라치즈 소금 후추 올리브유,분,168
https://haemukja.com/recipes/5816,베이컨맛탕,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66311/mid_thumb______.jpg&convert=jpgmin&rt=600,돼지고기 간식/야식 술안주 실생활 요리 양식 요리 이국적인맛 10분 요리 자취 초보 요리 간단 재료 요리,통베이컨 250g 올리고당 5 큰술 설탕 1 큰술,10분,360
https://haemukja.com/recipes/5813,닭날개볶음밥,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5813/mid_thumb________02.jpg&convert=jpgmin&rt=600,닭고기 볶음밥/오므라이스 볶음요리 술안주 동영상 레시피,닭날개 청주 소금 후추 베이컨 파 양파 밥 고춧가루 고추장 간장 다진마늘 매실액 물엿 미림 물,30분,289
https://haemukja.com/recipes/5811,대파가지제육볶음,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66259/mid_thumb_______1.jpg&convert=jpgmin&rt=600,돼지고기 볶음요리 간식/야식 술안주 손님 접대 요리 실생활 요리 한식 요리 채소류 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 간편 메인반찬,떡국떡 대파 가지 돼지고기 청양고춧가루 일반 고춧가루 맛술 설탕 간장 굴소스 고추장 다진 마늘 후춧가루 참기름,15분,369
